CACNA1C	Cacna1c
1700009N14Rik	RAN
RAN	1700009N14Rik,Ran,Rasl2-9
Ran	RAN
Rasl2-9	RAN
Ucp2	UCP2
UCP2	Ucp2
Rho	RHO
RHO	Rho
Adgra2	ADGRA2
ADGRA2	Adgra2
Myog	MYOG
MYOG	Myog
Hesx1	HESX1
HESX1	Hesx1
Nkx2-6	NKX2-6
NKX2-6	Nkx2-6
Opn1sw	OPN1SW
OPN1SW	Opn1sw
Olfr514	OR10A3
OR10A3	Olfr514,Olfr516,Olfr518,Olfr517,Olfr512
Olfr1122	OR10AG1
OR10AG1	Olfr1122,Olfr1123
Mef2d	MEF2D
MEF2D	Mef2d
Six3	SIX3
SIX3	Six3
Des	DES
DES	Des
Ctbp2	CTBP2
CTBP2	Ctbp2
Frat1	FRAT1
FRAT1	Frat1,Peg12
Frat2	FRAT2
FRAT2	Frat2
Peg12	FRAT1
Hoxb5	HOXB5
HOXB5	Hoxb5
Gdf6	GDF6
GDF6	Gdf6
Pax3	PAX3
PAX3	Pax3
Epb41l4a	EPB41L4A
EPB41L4A	Epb41l4a
Bax	BAX
BAX	Bax
Hoxd4	HOXD4
HOXD4	Hoxd4
Cry1	CRY1
CRY1	Cry1
Nr5a2	NR5A2
NR5A2	Nr5a2
Twsg1	TWSG1
TWSG1	Twsg1
Ache	ACHE
ACHE	Ache
mt-Nd3	ND3
ND3	mt-Nd3
Sox10	SOX10
SOX10	Sox10
Meis1	MEIS1
MEIS1	Meis1
L1cam	L1CAM
L1CAM	L1cam
Tpst1	TPST1
TPST1	Tpst1
Ctbp1	CTBP1
CTBP1	Ctbp1
Stat3	STAT3
STAT3	Stat3
T	TBXT
TBXT	T
Arntl	ARNTL
ARNTL	Arntl
Robo1	ROBO1
ROBO1	Robo1
Cdh2	CDH2
CDH2	Cdh2
Foxa1	FOXA1
FOXA1	Foxa1
Ppard	PPARD
PPARD	Ppard
Lhx3	LHX3
LHX3	Lhx3
Sox9	SOX9
SOX9	Sox9
Sox15	SOX15
SOX15	Sox15
Hoxc9	HOXC9
HOXC9	Hoxc9
Elavl1	ELAVL1
ELAVL1	Elavl1
Bmp2	BMP2
BMP2	Bmp2
Foxb1	FOXB1
FOXB1	Foxb1
Frzb	FRZB
FRZB	Frzb
Mef2c	MEF2C
MEF2C	Mef2c
Hoxa2	HOXA2
HOXA2	Hoxa2
Nme6	NME6
NME6	Nme6
Casp8	CASP8
CASP8	Casp8
Epha1	EPHA1
EPHA1	Epha1
Glra1	GLRA1
GLRA1	Glra1
Ucp1	UCP1
UCP1	Ucp1
Ppara	PPARA
PPARA	Ppara
Crybb1	CRYBB1
CRYBB1	Crybb1
Efna3	EFNA3
EFNA3	Efna3
mt-Nd2	ND2
ND2	mt-Nd2
Ptprf	PTPRF
PTPRF	Ptprf
Pknox1	PKNOX1
PKNOX1	Pknox1
Hoxb1	HOXB1
HOXB1	Hoxb1
Dbx1	DBX1
DBX1	Dbx1
Fzd9	FZD9
FZD9	Fzd9
Tnc	TNC
TNC	Tnc
Ctnna1	CTNNA1
CTNNA1	Ctnna1
Pax5	PAX5
PAX5	Pax5
Pcx	PC
PC	Pcx
Hoxd3	HOXD3
HOXD3	Hoxd3
Pou6f1	POU6F1
POU6F1	Pou6f1
Psme3	PSME3
PSME3	Psme3
Ephb4	EPHB4
EPHB4	Ephb4
Smarcb1	SMARCB1
SMARCB1	Smarcb1
Hoxb3	HOXB3
HOXB3	Hoxb3
Twist1	TWIST1
TWIST1	Twist1
Sox21	SOX21
SOX21	Sox21
Alas1	ALAS1
ALAS1	Alas1
Fzd10	FZD10
FZD10	Fzd10
Fzd3	FZD3
FZD3	Fzd3
Foxd2	FOXD2
FOXD2	Foxd2
Blcap	BLCAP
BLCAP	Blcap
Gata5	GATA5
GATA5	Gata5
Otp	OTP
OTP	Otp
Nr2f1	NR2F1
NR2F1	Nr2f1
Six5	SIX5
SIX5	Six5
Psmb6	PSMB6
PSMB6	Psmb6
Efna5	EFNA5
EFNA5	Efna5
Wnt5b	WNT5B
WNT5B	Wnt5b
Tef	TEF
TEF	Tef
Itk	ITK
ITK	Itk
Mesp2	MESP2
MESP2	Mesp2
Fbln1	FBLN1
FBLN1	Fbln1
Id1	ID1
ID1	Id1
Efnb3	EFNB3
EFNB3	Efnb3
Hoxa1	HOXA1
HOXA1	Hoxa1
Jag1	JAG1
JAG1	Jag1
Psap	PSAP
PSAP	Psap
Psapl1	PSAPL1
PSAPL1	Psapl1
Pbx3	PBX3
PBX3	Pbx3
Calr3	CALR3
CALR3	Calr3
Nkx2-5	NKX2-5
NKX2-5	Nkx2-5
Efna2	EFNA2
EFNA2	Efna2
Jak2	JAK2
JAK2	Jak2
Duxbl1	DUX1,DUX3,DUX4L1,DUX4L2,DUX4L4,DUX4L9,DUX5
DUX1	Duxbl1
DUX3	Duxbl1
DUX4L1	Duxbl1
DUX4L2	Duxbl1
DUX4L4	Duxbl1
DUX4L9	Duxbl1
DUX5	Duxbl1
Snap25	SNAP25
SNAP25	Snap25
Hoxd13	HOXD13
HOXD13	Hoxd13
Epdr1	EPDR1
EPDR1	Epdr1
Olfr181	OR5K4
OR5K4	Olfr181,Olfr180,Olfr178
Trpc4ap	TRPC4AP
TRPC4AP	Trpc4ap
Fgfr4	FGFR4
FGFR4	Fgfr4
Gsk3b	GSK3B
GSK3B	Gsk3b
Hoxc12	HOXC12
HOXC12	Hoxc12
Ppm1b	PPM1B
PPM1B	Ppm1b
C3	C3,C3
Fzd1	FZD1
FZD1	Fzd1
Gatd3a	GATD3
GATD3	Gatd3a
Pbx1	PBX1
PBX1	Pbx1
Nipsnap1	NIPSNAP1
NIPSNAP1	Nipsnap1
Clns1a	CLNS1A
CLNS1A	Clns1a
Dlx2	DLX2
DLX2	Dlx2
Zfp36	ZFP36
ZFP36	Zfp36
Elavl4	ELAVL4
